Product Name,Price
Sona Masoori Raw Rice/Akki,₹1750
Rice/Akki - Jeera/Jeeraga Samba,₹544
Idli/Idly Rice,₹544
Rice/Akki - Jeera/Jeeraga Samba,₹537.5
Basmati Rice/Basmati Akki - Traditional,₹1056.01
HMT Kolam Raw Rice/Akki,₹207
Poha/Avalakki/Aval/Chivda - Thin White Poha,₹94
Salted Murmure,₹34
Miniket Rice,₹315
"Rozana Basmati Rice - Non-GMO, Vegan, Non-Sticky, Fluffy Grains, Gluten Free",₹88.88
Kichili Samba Rice,₹120
Charminar Basmati Rice/Basmati Akki - Select,₹122
Organic Red Rice/Lal Chawal/Akki,₹188
Premium Basmati Rice/Basmati Akki,₹732.94
Premium Basmati Rice - Long Grain,₹339.15
Biryani Basmati Rice 1kg + Date crown Fard Premium Dates 250g Pouch Combo Pack,₹230
Natives Basmati Rice/Basmati Akki,₹180
Organic Poha/Avalakki,₹103
Broken Rice,₹50
"Chia Seed Whole - Superfood, Rich In Omega-3 Fatty Acids, Antioxidants",₹240.3
Potato Flakes,₹350
"Makka Poha - Packed With Nutrients, Healthy, Tasty",₹29.35
"Ala Carte Special Rice - Long & Fluffy, Slender & Non-Sticky",₹708.75
Organic Basmati Rice//Basmati Akki - Brown,₹224
Thick Poha,₹60
Gold Raw Rice,₹830
Vegetable Biryani Kit,₹125
Matta Aval,₹56
"Poha - Rich In Fibre, Carbohydrate",₹48.02
BASMATI RICE / CHAWAL - ROYALE BIRYANI SPECIAL,₹136.5
Biryani Rice - Premium,₹135.05
Matta Broken Rice,₹54.5
Lokwan Wheat Naturally Rich In Fibre,₹395
Basmati Rice - Premium Pulav,₹322.15
Boiled Rice,₹79
"Tulaipanji Rice - Organic, Premium & Aromatic",₹169
"Extra Premium Long Grain Basmati Rice - Pure, Authentic Taste",₹979.02
Ponni Boiled Rice - 12 To 17 Months Old,₹1328
Boiled Rice - Rajabogham,₹1660
Parmal Rice,₹260
Wheat - Sihor,₹268
Ponni Boiled Rice,₹1486
"Champion Choice Exotic Basmati Rice - For Biryani, Pulao & Other Dishes",₹992.25
Premium Rice - Shahi Pakwan,₹81.12
